Brain region,Treatment,Soma size,,,,,,,,,,,
Cerebellum,FXR ,628.1932773,,,,,,,,,,,
Cerebellum,FXR ,689.53125,,,,,,,,,,,
Cerebellum,FXR ,539.6608696,,,,,,,,,,,
Cerebellum,FXR ,565.9892473,,,,,,,,,,,
Cerebellum,FXR ,535.5652174,,,,,,,,,,,
Cerebellum,FXR ,554.2346939,,,,,,,,,,,
Cerebellum,FXR ,578.7425743,,,,,,,,,,,
Cerebellum,FXR ,523.4197531,,,,,,,,,,,
Cerebellum,FXR AOM,773.3813559,,,,,,,,,,,
Cerebellum,FXR AOM,793.034965,,,,,,,,,,,
Cerebellum,FXR AOM,839.7092199,,,,,,,,,,,
Cerebellum,FXR AOM,618.3333333,,,,,,,,,,,
Cerebellum,FXR AOM,702.1304348,,,,,,,,,,,
Cerebellum,FXR AOM,765.3467742,,,,,,,,,,,
Cerebellum,FXR AOM,769.8804348,,,,,,,,,,,
Cerebellum,FXR AOM,656.0224719,,,,,,,,,,,
Cerebellum,FXRSC,684.6982759,,,,,,,,,,,
Cerebellum,FXRSC,683.46875,,,,,,,,,,,
Cerebellum,FXRSC,558.6124031,,,,,,,,,,,
Cerebellum,FXRSC,569.1028037,,,,,,,,,,,
Cerebellum,FXRSC,535.3882353,,,,,,,,,,,
Cerebellum,FXRSC,543.6352941,,,,,,,,,,,
Cerebellum,FXRSC,577.3963964,,,,,,,,,,,
Cerebellum,FXRSC,514.0784314,,,,,,,,,,,
Cerebellum,FXRSC AOM,657.1587302,,,,,,,,,,,
Cerebellum,FXRSC AOM,655.5862069,,,,,,,,,,,
Cerebellum,FXRSC AOM,596.3534483,,,,,,,,,,,
Cerebellum,FXRSC AOM,495.3932584,,,,,,,,,,,
Cerebellum,FXRSC AOM,577.3365385,,,,,,,,,,,
Cerebellum,FXRSC AOM,576.0104167,,,,,,,,,,,
Cerebellum,FXRSC AOM,539.6388889,,,,,,,,,,,
Cerebellum,FXRSC AOM,582.345679,,,,,,,,,,,
Cortex,FXR ,531,,,,,,,,,,,
Cortex,FXR ,514.2090395,,,,,,,,,,,
Cortex,FXR ,582.7621359,,,,,,,,,,,
Cortex,FXR ,565.8464567,,,,,,,,,,,
Cortex,FXR ,599.4157303,,,,,,,,,,,
Cortex,FXR ,461.4342857,,,,,,,,,,,
Cortex,FXR ,439.0421687,,,,,,,,,,,
Cortex,FXR ,526.1606218,,,,,,,,,,,
Cortex,FXR ,517.3127962,,,,,,,,,,,
Cortex,FXR AOM,642.6726457,,,,,,,,,,,
Cortex,FXR AOM,627.3574879,,,,,,,,,,,
Cortex,FXR AOM,658.8101266,,,,,,,,,,,
Cortex,FXR AOM,723.8471074,,,,,,,,,,,
Cortex,FXR AOM,751.4652015,,,,,,,,,,,
Cortex,FXR AOM,537.8232932,,,,,,,,,,,
Cortex,FXR AOM,580.5526316,,,,,,,,,,,
Cortex,FXR AOM,549.2325581,,,,,,,,,,,
Cortex,FXR AOM,786.598513,,,,,,,,,,,
Cortex,FXRSC,598.8994975,,,,,,,,,,,
Cortex,FXRSC,579.3169811,,,,,,,,,,,
Cortex,FXRSC,617.2772727,,,,,,,,,,,
Cortex,FXRSC,513.7511962,,,,,,,,,,,
Cortex,FXRSC,458.5418994,,,,,,,,,,,
Cortex,FXRSC,452.7885463,,,,,,,,,,,
Cortex,FXRSC,405.1052632,,,,,,,,,,,
Cortex,FXRSC,567.5614035,,,,,,,,,,,
Cortex,FXRSC AOM,560.9860465,,,,,,,,,,,
Cortex,FXRSC AOM,431.85,,,,,,,,,,,
Cortex,FXRSC AOM,463.7902439,,,,,,,,,,,
Cortex,FXRSC AOM,445.0328638,,,,,,,,,,,
Cortex,FXRSC AOM,428.273743,,,,,,,,,,,
Cortex,FXRSC AOM,442.516129,,,,,,,,,,,
Cortex,FXRSC AOM,444.7832512,,,,,,,,,,,
Cortex,FXRSC AOM,538.8945148,,,,,,,,,,,
Hippocampus,FXR,480.1358025,,,,,,,,,,,
Hippocampus,FXR,454.1774194,,,,,,,,,,,
Hippocampus,FXR,557.0689655,,,,,,,,,,,
Hippocampus,FXR,552.1485714,,,,,,,,,,,
Hippocampus,FXR,588.1741294,,,,,,,,,,,
Hippocampus,FXR,514.0220588,,,,,,,,,,,
Hippocampus,FXR,550.7131148,,,,,,,,,,,
Hippocampus,FXR,483.7964072,,,,,,,,,,,
Hippocampus,FXR,585.4585153,,,,,,,,,,,
Hippocampus,FXR AOM,667.6373626,,,,,,,,,,,
Hippocampus,FXR AOM,735.3838384,,,,,,,,,,,
Hippocampus,FXR AOM,642.4408602,,,,,,,,,,,
Hippocampus,FXR AOM,605.0852273,,,,,,,,,,,
Hippocampus,FXR AOM,712.2849162,,,,,,,,,,,
Hippocampus,FXR AOM,646.3781095,,,,,,,,,,,
Hippocampus,FXR AOM,639.703125,,,,,,,,,,,
Hippocampus,FXR AOM,679.2524752,,,,,,,,,,,
Hippocampus,FXR AOM,791.8202247,,,,,,,,,,,
Hippocampus,FXRSC,537.3908046,,,,,,,,,,,
Hippocampus,FXRSC,426.8068182,,,,,,,,,,,
Hippocampus,FXRSC,465.1789474,,,,,,,,,,,
Hippocampus,FXRSC,544.4930876,,,,,,,,,,,
Hippocampus,FXRSC,495.9492754,,,,,,,,,,,
Hippocampus,FXRSC,492.572093,,,,,,,,,,,
Hippocampus,FXRSC,451.7931034,,,,,,,,,,,
